SIGLA,NOME,CURSO,CAT,PER,SEM,AN,HOR,CH,REQ,EQV,COREQ
ECO101A,INTRODUÇÃO À ENGENHARIA DA COMPUTAÇÃO,ECO,OBRIGATORIA,1,1,SIM,5T345,48,-,-,-
ECOM00,LÓGICA PARA ENGENHARIA,ECO,OBRIGATORIA,1,1,NÃO,3T34,32,-,-,-
ECOM10,LABORATÓRIO DE LÓGICA PARA ENGENHARIA,ECO,OBRIGATORIA,1,1,NÃO,4M2,16,-,-,ECOM00
ECOP11A,TÉCNICAS DE PROGRAMAÇÃO,ECO,OBRIGATORIA,1,1,NÃO,2M23 3M45,64,-,-,-
ELTA00A,CIRCUITOS E ELETRÔNICA,ECO,OBRIGATORIA,1,1,NÃO,4T34 5T12,64,-,-,-
ELTA10A,LABORATÓRIO DE CIRCUITOS E ELETRÔNICA,ECO,OBRIGATORIA,1,1,SIM,5M45,32,-,-,ELTA00A
LET014,COMUNICAÇÃO ORAL PARA FINS ACADÊMICOS,ECO,OBRIGATORIA,1,1,NÃO,3T12,32,-,-,-
MAT00A,CÁLCULO A,ECO,OBRIGATORIA,1,1,NÃO,2T34 4T12,64,-,-,-
ECOM01A,MATEMÁTICA DISCRETA,ECO,OBRIGATORIA,2,0,SIM,3T12,32,ECOM00,-,-
ECOM11A,PROGRAMAÇÃO FUNCIONAL,ECO,OBRIGATORIA,2,0,SIM,4M2,16,-,-,-
ECOP02A,ESTRUTURAS DE DADOS,ECO,OBRIGATORIA,2,0,SIM,2M23 4M45,64,ECOP11A,-,-
ECOP04,PROGRAMAÇÃO EMBARCADA,ECO,OBRIGATORIA,2,0,NÃO,2T12,32,ECOP11A,-,-
ECOP14,LABORATÓRIO DE PROGRAMAÇÃO EMBARCADA,ECO,OBRIGATORIA,2,0,NÃO,3M23,32,-,-,ECOP04
FIS210,FÍSICA I,ECO,OBRIGATORIA,2,0,NÃO,4T34 6T12,64,-,FIS203,-
FIS212,FÍSICA EXPERIMENTAL I,ECO,OBRIGATORIA,2,0,NÃO,5M45,32,-,-,FIS210 OU FIS203
LET013,ESCRITA ACADÊMICO-CIENTÍFICA,ECO,OBRIGATORIA,2,0,NÃO,3T34,32,-,HUMI02,-
MAT00D,EQUAÇÕES DIFERENCIAIS A,ECO,OBRIGATORIA,2,0,NÃO,2T34 4T12,64,MAT00A,-,-
ECOM02A,TEORIA DOS GRAFOS,ECO,OBRIGATORIA,3,1,SIM,6M23,32,ECOM01A,-,-
ECOP13A,PROGRAMAÇÃO ORIENTADA A OBJETOS,ECO,OBRIGATORIA,3,1,NÃO,4T12 6T34,64,ECOP11A,-,-
ELTA01A,ELETRÔNICA ANALÓGICA I,ECO,OBRIGATORIA,3,1,NÃO,56M45,64,ELTA00A E ELTA10A,-,-
ELTA11A,LABORATÓRIO DE ELETRÔNICA ANALÓGICA I,ECO,OBRIGATORIA,3,1,NÃO,3T12,32,-,-,ELTA01A
ELTD01A,ELETRÔNICA DIGITAL I,ECO,OBRIGATORIA,3,1,NÃO,4M23,32,ECOM00 E ECOM10,-,-
ELTD11A,LABORATÓRIO DE ELETRÔNICA DIGITAL I,ECO,OBRIGATORIA,3,1,NÃO,4T34 5T12,16,-,-,ELTD01A
FIS320,FÍSICA II B,ECO,OBRIGATORIA,3,1,SIM,2M23 4M45,32,FIS210 OU FIS203,-,-
FIS322,FÍSICA EXPERIMENTAL II B,ECO,OBRIGATORIA,3,1,SIM,3T34,16,FIS212,-,FIS320
MAT252,ÁLGEBRA LINEAR E APLICAÇÕES,ECO,OBRIGATORIA,3,1,NÃO,3M45 5M23,64,MAT00D,-,-
ECOM03A,ANÁLISE DE ALGORITMOS,ECO,OBRIGATORIA,4,0,SIM,5M45,32,ECOP02A OU ECOP06,-,-
ECOM05A,LINGUAGENS FORMAIS,ECO,OBRIGATORIA,4,0,SIM,3M23,,ECOM02A,-,-
ECOS01A,SISTEMAS OPERACIONAIS,ECO,OBRIGATORIA,4,0,NÃO,6M23,32,(ECOP04 E ECOP14 ) OU ECOP02A,-,-
ECOS11A,LABORATÓRIO DE SISTEMAS OPERACIONAIS,ECO,OBRIGATORIA,4,0,NÃO,6M4,16,-,-,ECOS01A
ECOT02A,PROJETO DE SOFTWARE,ECO,OBRIGATORIA,4,0,NÃO,2M23 3M45,32,ECOP13A OU ECOP06,-,-
ECOT12A,LABORATÓRIO DE PROJETO DE SOFTWARE,ECO,OBRIGATORIA,4,0,NÃO,2T12,32,-,-,ECOT02A
ELTA02A,ELETRÔNICA ANALÓGICA II,ECO,OBRIGATORIA,4,0,NÃO,2M45,32,ELTA01A E ELTA11A,-,-
ELTA12A,LABORATÓRIO DE ELETRÔNICA ANALÓGICA II,ECO,OBRIGATORIA,4,0,NÃO,2T34 4T12,32,-,-,ELTA02A
ELTD12A,ELETRÔNICA DIGITAL II,ECO,OBRIGATORIA,4,0,NÃO,4T34 5T12,32,ELTD01A E ELTD11A,-,-
EMAG01,ELETROMAGNETISMO,ECO,OBRIGATORIA,4,0,NÃO,3M45 5M23,64,(FIS210 OU FIS203) E FIS212,-,-
FIS412,FÍSICA EXPERIMENTAL III,ECO,OBRIGATORIA,4,0,NÃO,4M23,16,FIS212,-,EMAG01
ECAC09,SINAIS E SISTEMAS,ECO,OBRIGATORIA,5,1,NÃO,5T34 6T12,64,MAT00D,-,-
ECAC19,LABORATÓRIO DE SINAIS E SISTEMAS,ECO,OBRIGATORIA,5,1,NÃO,4M2,16,-,-,ECAC09
ECO140A,METODOLOGIA CIENTÍFICA E ANÁLISE DE DADOS,ECO,OBRIGATORIA,5,1,SIM,4T34 5T12,32,ECOP02A E ECOT02A E ECOT12A,-,-
ECO141A,LABORATÓRIO DE METODOLOGIA CIENTÍFICA E ANÁLISE DE DADOS,ECO,OBRIGATORIA,5,1,SIM,2T12,16,-,-,ECO140A
ECOM06A,COMPILADORES,ECO,OBRIGATORIA,5,1,SIM,3M23,32,ECOM05A,-,-
ECOM07A,MÉTODOS NUMÉRICOS E COMPUTACIONAIS,ECO,OBRIGATORIA,5,1,SIM,4T34 5T12,32,ECOP02A E MAT00A,-,-
ECOS03,SISTEMAS OPERACIONAIS EMBARCADOS,ECO,OBRIGATORIA,5,1,NÃO,2M45,32,ECOS01A OU ECOP04,-,-
ECOS13,LABORATÓRIO DE SISTEMAS OPERACIONAIS EMBARCADOS,ECO,OBRIGATORIA,5,1,NÃO,6M23,16,-,-,ECOS03
ECOT03A,BANCO DE DADOS,ECO,OBRIGATORIA,5,1,SIM,2M23 3M45,32,ECOT02A E ECOT12A,-,-
ECOT13A,LABORATÓRIO DE BANCO DE DADOS,ECO,OBRIGATORIA,5,1,SIM,3T12,32,-,-,ECOT03A
TELC03A,REDES DE COMPUTADORES,ECO,OBRIGATORIA,5,1,SIM,2T34 4T12,32,ECOM02A,-,-
TELC13A,LABORATÓRIO DE REDES DE COMPUTADORES,ECO,OBRIGATORIA,5,1,SIM,4M2,16,-,-,TELC03A
ECOM08A,INTELIGÊNCIA ARTIFICIAL,ECO,OBRIGATORIA,6,0,SIM,2T34 4T12,32,ECOM02A,-,-
ECOS02A,SISTEMAS DISTRIBUÍDOS,ECO,OBRIGATORIA,6,0,SIM,2M45,32,ECOS01A E ECOS11A,-,-
ECOS12A,LABORATÓRIO DE SISTEMAS DISTRIBUÍDOS,ECO,OBRIGATORIA,6,0,SIM,3M23,16,-,-,ECOS02A
ECOT01A,ENGENHARIA DE SOFTWARE,ECO,OBRIGATORIA,6,0,SIM,2T34 4T12,32,ECOP13A OU ECOP06,-,-
ECOT11A,LABORATÓRIO DE ENGENHARIA DE SOFTWARE,ECO,OBRIGATORIA,6,0,SIM,3M45 5M23,16,-,-,ECOT01A
ELTD03A,MICROCONTROLADORES E MICROPROCESSADORES,ECO,OBRIGATORIA,6,0,NÃO,2T12,32,ELTD01A E ELTD11A E ECOP04 E ECOP14,-,-
ELTD13A,LABORATÓRIO DE MICROCONTROLADORES E MICROPROCESSADORES,ECO,OBRIGATORIA,6,0,NÃO,4M23,32,-,-,ELTD03A
PBLE00,FUNDAMENTOS DE PROJETOS MECÂNICOS,ECO,OBRIGATORIA,6,0,NÃO,35T34,64,-,-,-
TELC01A,TELECOMUNICAÇÕES I,ECO,OBRIGATORIA,6,0,NÃO,35T12,64,MAT00D,-,-
TELC11A,LABORATÓRIO DE TELECOMUNICAÇÕES I,ECO,OBRIGATORIA,6,0,NÃO,2M23 4M45,16,-,-,TELC01A
ECOM09A,INTELIGÊNCIA ARTIFICIAL APLICADA,ECO,OBRIGATORIA,7,1,SIM,6M23,32,ECOM08A,-,-
ECOS04,SIMULAÇÃO E AVALIAÇÃO DE DESEMPENHO,ECO,OBRIGATORIA,7,1,SIM,2M23 3M45,32,ECOS02A E ECOS12A,-,-
ELT052A,QUÍMICA E CIÊNCIA DOS MATERIAIS,ECO,OBRIGATORIA,7,1,NÃO,5M45,32,-,-,-
ELTD05A,PROJETO DE SISTEMAS DIGITAIS,ECO,OBRIGATORIA,7,1,NÃO,2M23 4M45,32,ELTD12A,-,-
ELTD15A,LABORATÓRIO DE PROJETO DE SISTEMAS DIGITAIS,ECO,OBRIGATORIA,7,1,NÃO,2T34 4T12,32,-,-,ELTD05A
IEPG20,INTRODUÇÃO À ECONOMIA,ECO,OBRIGATORIA,7,1,NÃO,5M123,48,-,-,-
PBLC01,DESENVOLVIMENTO DE PROJETO DE SOFTWARE,ECO,OBRIGATORIA,7,1,NÃO,35T12,64,ECOT03A E ECOT13A,-,-
QUI212,QUÍMICA GERAL EXPERIMENTAL,ECO,OBRIGATORIA,7,1,NÃO,4M23,16,-,-,ELT052A 
TELC02A,TELECOMUNICAÇÕES II,ECO,OBRIGATORIA,7,1,NÃO,3M23,32,TELC01A E TELC11A E ELTA02A E ELTA12A,-,-
TELC12A,LABORATÓRIO DE TELECOMUNICAÇÕES II,ECO,OBRIGATORIA,7,1,NÃO,2T12,32,-,-,TELC02A
ECAC14A,PROCESSAMENTO DIGITAL DE SINAIS,ECO,OBRIGATORIA,8,0,NÃO,6M2345,64,ECAC09 E ECAC19,-,-
ECO103,INFORMÁTICA E SOCIEDADE,ECO,OBRIGATORIA,8,0,NÃO,4T34 6T12,32,ECOT01A,-,-
ELTD04A,MICROPROCESSADOR AVANÇADO,ECO,OBRIGATORIA,8,0,SIM,4M23,32,ELTD03A E ELTD13A,-,-
ELTD14A,LABORATÓRIO DE MICROPROCESSADOR AVANÇADO,ECO,OBRIGATORIA,8,0,SIM,3M45 5M23,16,-,-,ELTD04A
IEPG10,ENGENHARIA ECONÔMICA,ECO,OBRIGATORIA,8,0,NÃO,2M23 4M45,48,-,-,-
IEPG22,ADMINISTRAÇÃO APLICADA,ECO,OBRIGATORIA,8,0,NÃO,4T34 5T12,32,-,-,-
IRN001,CIÊNCIAS DO AMBIENTE,ECO,OBRIGATORIA,8,0,SIM,4M2,32,-,EAM002,-
ECOM00,LÓGICA PARA ENGENHARIA,ECO,EQUIVALENTE,1,1,NÃO,4T34 5T12,32,-,-,-
ECOM00,LÓGICA PARA ENGENHARIA,ECO,EQUIVALENTE,1,0,NÃO,5N12,32,-,-,-
ECOM00,LÓGICA PARA ENGENHARIA,ECO,EQUIVALENTE,1,0,NÃO,2N12,32,-,-,-
ECOM10,LABORATÓRIO DE LÓGICA PARA ENGENHARIA,ECO,EQUIVALENTE,1,1,NÃO,2M23 4M45,16,-,-,ECOM00
ECOM10,LABORATÓRIO DE LÓGICA PARA ENGENHARIA,ECO,EQUIVALENTE,1,1,NÃO,5M45,16,-,-,ECOM00
ECOM10,LABORATÓRIO DE LÓGICA PARA ENGENHARIA,ECO,EQUIVALENTE,1,1,NÃO,3M45 5M23,16,-,-,ECOM00
ECOM10,LABORATÓRIO DE LÓGICA PARA ENGENHARIA,ECO,EQUIVALENTE,1,1,NÃO,6M23,16,-,-,ECOM00
ECOM10,LABORATÓRIO DE LÓGICA PARA ENGENHARIA,ECO,EQUIVALENTE,1,1,NÃO,6M4,16,-,-,ECOM00
ECOM10,LABORATÓRIO DE LÓGICA PARA ENGENHARIA,ECO,EQUIVALENTE,1,1,NÃO,2M23 3M45,16,-,-,ECOM00
ECOM10,LABORATÓRIO DE LÓGICA PARA ENGENHARIA,ECO,EQUIVALENTE,1,1,NÃO,2M45,16,-,-,ECOM00
ECOM10,LABORATÓRIO DE LÓGICA PARA ENGENHARIA,ECO,EQUIVALENTE,1,0,NÃO,6M4,16,-,-,ECOM00
ECOM10,LABORATÓRIO DE LÓGICA PARA ENGENHARIA,ECO,EQUIVALENTE,1,0,NÃO,6M23,16,-,-,ECOM00
ECOP11A,TÉCNICAS DE PROGRAMAÇÃO,ECO,EQUIVALENTE,1,1,NÃO,4M23 5M45,64,-,-,-
ECOP11A,TÉCNICAS DE PROGRAMAÇÃO,ECO,EQUIVALENTE,1,1,NÃO,2M45 3M23,64,-,-,-
ECOP11A,TÉCNICAS DE PROGRAMAÇÃO,ECO,EQUIVALENTE,1,1,NÃO,2M45 3M23,64,-,-,-
ECOP11A,TÉCNICAS DE PROGRAMAÇÃO,ECO,EQUIVALENTE,1,0,NÃO,2M45 3M12,64,-,-,-
ELTA00A,CIRCUITOS E ELETRÔNICA,ECO,EQUIVALENTE,1,1,NÃO,35T34,64,-,-,-
ELTA00A,CIRCUITOS E ELETRÔNICA,ECO,EQUIVALENTE,1,0,NÃO,46M23,64,-,-,-
ELTA10A,LABORATÓRIO DE CIRCUITOS E ELETRÔNICA,ECO,EQUIVALENTE,1,1,SIM,3M45 5M23,32,-,-,ELTA00A
ELTA10A,LABORATÓRIO DE CIRCUITOS E ELETRÔNICA,ECO,EQUIVALENTE,1,1,SIM,2M23 4M45,32,-,-,ELTA00A
ELTA10A,LABORATÓRIO DE CIRCUITOS E ELETRÔNICA,ECO,EQUIVALENTE,1,1,SIM,4M23,32,-,-,ELTA00A
ELTA10A,LABORATÓRIO DE CIRCUITOS E ELETRÔNICA,ECO,EQUIVALENTE,1,1,SIM,2M23 3M45,32,-,-,ELTA00A
ELTA10A,LABORATÓRIO DE CIRCUITOS E ELETRÔNICA,ECO,EQUIVALENTE,1,1,SIM,3M23,32,-,-,ELTA00A
LET014,COMUNICAÇÃO ORAL PARA FINS ACADÊMICOS,ECO,EQUIVALENTE,1,1,NÃO,6M45,32,-,-,-
LET014,COMUNICAÇÃO ORAL PARA FINS ACADÊMICOS,ECO,EQUIVALENTE,1,1,NÃO,5N12,32,-,-,-
LET014,COMUNICAÇÃO ORAL PARA FINS ACADÊMICOS,ECO,EQUIVALENTE,1,1,NÃO,6N12,32,-,-,-
LET014,COMUNICAÇÃO ORAL PARA FINS ACADÊMICOS,ECO,EQUIVALENTE,1,0,NÃO,4N34,32,-,-,-
LET014,COMUNICAÇÃO ORAL PARA FINS ACADÊMICOS,ECO,EQUIVALENTE,1,0,NÃO,2T34 4T12,32,-,-,-
LET014,COMUNICAÇÃO ORAL PARA FINS ACADÊMICOS,ECO,EQUIVALENTE,1,0,NÃO,4T34 5T12,32,-,-,-
LET014,COMUNICAÇÃO ORAL PARA FINS ACADÊMICOS,ECO,EQUIVALENTE,1,0,NÃO,2M23 4M45,32,-,-,-
MAT00A,CÁLCULO A,MAT,EQUIVALENTE,1,1,NÃO,2N12 4N34,64,-,-,-
MAT00A,CÁLCULO A,MAT,EQUIVALENTE,1,1,NÃO,2M45 4M23,64,-,-,-
MAT00A,CÁLCULO A,MAT,EQUIVALENTE,1,1,NÃO,35N12,64,-,-,-
MAT00A,CÁLCULO A,MAT,EQUIVALENTE,1,0,NÃO,24N12,64,-,-,-
MAT00A,CÁLCULO A,MAT,EQUIVALENTE,1,0,NÃO,36T12,64,-,-,-
MAT00A,CÁLCULO A,MAT,EQUIVALENTE,1,0,NÃO,24T34,64,-,-,-
MAT00A,CÁLCULO A,MAT,EQUIVALENTE,1,0,NÃO,35T34,64,-,-,-
MAT00A,CÁLCULO A,MAT,EQUIVALENTE,1,0,NÃO,35N12,64,-,-,-
