PER.,SIGLA,DISCIPLINA,CH,PRE REQ.,ANUAL,HORARIOS,EQUIVALENTES (SIN OU ECO),CURSO
1,XDES01,Fundamentos de Programação,64,-,NÃO,34M45,XDES01 OU ECOP11A,CCO
1,CRSC03,Arquitetura de Computadores I,64,-,SIM,35T34,- OU (ELTD01A E ELTD11A),CCO
1,XMAC01,Matemática Discreta,64,-,NÃO,34M23,XMAC01 OU (ECOM01A E ECOM11A),CCO
1,CAHC04,Projeto Integrado,32,-,SIM,5T12,- OU -,CCO
1,MAT00A,Cálculo A,64,-,NÃO,2T34 4T12,MAT00A OU MAT00A,CCO
2,CTCO01,Algoritmos e Estrutura de Dados I,64,XDES01,SIM,46T12,STCO01 OU ECOP02A,CCO
2,CRSC04,Arquitetura de Computadores II,64,CRSC03 E (ELTD01A OU ELTD11A),SIM,35T12,- OU ECOX01,CCO
2,CMAC04,Modelagem Computacional,64,MAT00A,SIM,45T34,- OU -,CCO
2,MAT00B,Cálculo B,64,MAT00A,NÃO,2M23 4M45,- OU MAT00B,CCO
3,XDES04,Engenharia de Software I,64,-,NÃO,2T34 4M45,XDES04 OU (ECOT01A E ECOT11A),CCO
3,XDES02,Programação Orientada a Objetos,64,XDES01 OU ECOP11A,NÃO,35T34,XDES02 OU ECOP13A,CCO
3,CTCO02,Algoritmos e Estrutura de Dados II,64,CTCO01 OU STCO01 OU ECOP02A,SIM,2T12 4T34,STCO02 OU -,CCO
3,CRSC02,Sistemas Operacionais,64,(CTCO01 OU STCO01 OU ECOP02A) E (CRSC04 OU ECOX01),SIM,35T12,- OU (ECOS01A E ECOS11A),CCO
3,CMAC03,Algoritmos em Grafos,64,CTCO01,SIM,3M45 5M23,SMAC03 OU -,CCO
3,XMAC02,Métodos Matemáticos para Análise de Dados,64,MAT00A E (XMAC01 OU (ECOM01A E ECOM11A)) E (CTCO01 OU STCO01 OU ECOP02A),NÃO,46T12,XMAC02 OU -,CCO
4,XDES03,Programação Web,64,XDES02 OU ECOP13A,NÃO,3T12 5T34,XDES03 OU ECOX05,CCO
4,CTCO04,Projeto e Análise de Algoritmos,64,CTCO02 OU STCO02,SIM,2T34 5M45,- OU -,CCO
4,XRSC01,Redes de Computadores,64,CRSC02 OU (ECOS01A E ECOS11A),NÃO,25T12,XRSC01 OU (TELC03A E TELC13A),CCO
4,CDES05,Programação Lógica e Funcional,64,XMAC01 OU (ECOM01A E ECOM11A),SIM,4T34 6T12,- OU -,CCO
4,CRSC05,Sistemas Embarcados,64,CRSC02 OU (ECOS01A E ECOS11A),SIM,3M2345,- OU ECOX01,CCO
4,CMAC05,Cálculo Numérico para Computação,64,MAT00B,SIM,3T34 4T12,- OU -,CCO
5,CTCO05,Teoria da Computação,64,CTCO04 E CDES05,SIM,3M45 6M23,- OU -,CCO
5,CTCO03,Análise e Projeto Orientados a Objetos,64,XDES02 OU ECOP13A,SIM,4M23 6M45,- OU -,CCO
5,XPAD01,Banco de Dados I,64,CTCO02 OU STCO02,NÃO,4T12 QM45,XPAD01 OU (ECOT03A E ECOT13A),CCO
5,XMCO01,Inteligência Artificial,64,XMAC02,SIM,35T12,XMACO01 OU -,CCO
5,CMCO05,Introdução à Computação Visual,64,XMAC02 E (XDES02 OU ECOP13A),SIM,56T34,- OU -,CCO
6,CTCO06,Compiladores,64,CTCO05,SIM,2T34 5M45,- OU -,CCO
6,XAHC02,Interação Humano Computador,64,(XDES03 OU ECOX05) E (XDES04 OU (ECOT01A E ECOT11A)),NÃO,23T12,XAHC02 OU -,CCO
7,XAHC01,Computação e Sociedade,64,-,NÃO,4N1234,XAHC01 OU -,CCO
7,XAHC03,Metodologia Científica,64,-,NÃO,56T12,XAHC03 OU -,CCO
